Year,Population,Mortality,Fertility,Life expectancy,Primary school completion
1970,20900000,97.9,5.55,65.9,35.8
1971,21400000,94.3,5.3,65.9,53.2
1972,21900000,90.6,5.07,65.1,54.1
1973,22400000,86.7,4.86,64.9,57.4
1974,22900000,82.7,4.68,65.3,58.4
1975,23400000,78.5,4.52,66.3,
1976,23900000,74.2,4.4,66.8,
1977,24400000,69.9,4.28,67.8,
1978,25000000,65.7,4.18,68.2,
1979,25600000,61.6,4.07,68.5,
1980,26200000,57.7,3.97,68.9,
1981,26800000,54.1,3.86,69.2,
1982,27400000,50.8,3.74,69.6,75.2
1983,28000000,47.8,3.63,69.8,78.2
1984,28700000,45.2,3.53,70.2,77.8
1985,29300000,42.9,3.42,67.2,72.3
1986,30000000,40.9,3.32,70.2,70.6
1987,30600000,39.1,3.23,70.2,74.7
1988,31300000,37.7,3.14,70.6,74.2
1989,31900000,36.4,3.07,70.8,74
1990,32600000,35.2,2.99,71.5,86.9
1991,33299999,34.1,2.93,71,77.6
1992,33900000,33,2.86,71.1,89.8
1993,34600000,31.9,2.79,71.7,88
1994,35300000,30.8,2.73,72.1,86.4
1995,36000000,29.7,2.66,72.5,90.6
1996,36600000,28.7,2.6,72.8,91.8
1997,37300000,27.7,2.54,73.5,
1998,37900000,26.7,2.48,74,98.1
1999,38600000,25.8,2.43,74.1,99.5
2000,39200000,25,2.39,74.2,98.7
2001,39800000,24.2,2.35,74.4,
2002,40500000,23.5,2.31,73.4,95.3
2003,41100000,22.8,2.27,75.2,
2004,41600000,22.2,2.24,75.6,102
2005,42200000,21.5,2.2,76.5,106
2006,42800000,20.9,2.16,76.7,113
2007,43300000,20.3,2.12,77.3,115
2008,43800000,19.7,2.08,77.6,115
2009,44300000,19.1,2.04,77.5,120
2010,44800000,18.5,2.01,77.9,118
2011,45300000,17.9,1.98,78.7,115
2012,45800000,17.3,1.95,79,109
2013,46200000,16.8,1.92,79.3,99.1
2014,46700000,16.2,1.9,79.7,98.6
2015,47100000,15.7,1.87,79.7,99.4
2016,47600000,15.2,1.85,79.8,101
2017,48400000,14.7,1.83,80,106
2018,49300000,14.2,1.82,80.1,106
2019,50200000,13.8,1.8,80.2,106
2020,50900000,13.5,1.78,77.8,104
2021,51500000,13.1,1.76,80.5,
