Year,Population,Mortality,Fertility,Life expectancy,Primary school completion
1970,8860000,202,6.95,54.5,
1971,9110000,200,6.94,54.8,56.1
1972,9370000,198,6.92,55.2,50.7
1973,9640000,195,6.89,55.5,
1974,9920000,191,6.86,56,45.5
1975,10200000,186,6.82,56.3,45.7
1976,10500000,181,6.77,56.5,47.1
1977,10800000,176,6.72,56.8,48.7
1978,11200000,172,6.67,57.2,49
1979,11500000,169,6.61,57.4,49.1
1980,11900000,166,6.54,57.5,50.7
1981,12200000,165,6.47,57.7,52.8
1982,12600000,163,6.39,57.7,
1983,13000000,161,6.31,57.8,
1984,13300000,159,6.22,57.9,
1985,13700000,155,6.13,58.2,
1986,14000000,150,6.03,58.5,
1987,14300000,144,5.93,58.7,
1988,14700000,138,5.82,58.9,
1989,15100000,133,5.71,59.2,
1990,15400000,127,5.6,59.4,
1991,15800000,123,5.5,59.6,57.4
1992,16200000,120,5.4,59.7,59.5
1993,16600000,117,5.32,59.9,
1994,17000000,116,5.24,59.6,
1995,17400000,114,5.17,59.9,
1996,17800000,112,5.1,59.8,
1997,18300000,109,5.04,59.5,
1998,18700000,106,4.97,59.7,
1999,19200000,103,4.9,59.7,62.1
2000,19700000,99.5,4.83,59.6,64.7
2001,20200000,95.8,4.75,59.5,61.9
2002,20800000,92.4,4.68,59.5,63.6
2003,21300000,89.3,4.61,59.6,69.1
2004,21900000,86.6,4.55,59.8,62
2005,22500000,84.2,4.49,60,70.1
2006,23100000,81.8,4.44,60.3,67.5
2007,23700000,79.3,4.39,60.5,72.1
2008,24300000,76.4,4.35,61,77.7
2009,25000000,73.2,4.31,61.3,77.6
2010,25600000,69.9,4.27,61.8,
2011,26200000,66.6,4.23,62.4,85.3
2012,26900000,63.3,4.19,63,104
2013,27500000,60.2,4.15,63.5,93.8
2014,28200000,57.4,4.1,63.9,92.7
2015,28900000,54.7,4.04,64.2,98.4
2016,29600000,52.3,3.98,64.7,
2017,30200000,50,3.93,65.1,94.5
2018,30900000,47.9,3.87,65.8,94.6
2019,31500000,46.2,3.81,66.3,
2020,32200000,44.8,3.76,66.4,
2021,32799999,43.5,3.71,66.9,
