Year,Population,Mortality,Fertility,Life expectancy,Primary school completion
1970,558000000,214,5.59,49.3,
1971,570000000,211,5.52,49.7,27.5
1972,583000000,207,5.44,50.1,
1973,596000000,203,5.36,50.9,
1974,610000000,199,5.28,51.5,29.1
1975,624000000,195,5.19,51.6,
1976,637000000,190,5.11,52.1,
1977,652000000,185,5.03,52.8,
1978,666000000,179,4.96,53.6,
1979,681000000,174,4.89,54.7,
1980,697000000,168,4.83,55.2,
1981,713000000,163,4.77,55.5,
1982,729000000,158,4.7,56.3,
1983,746000000,154,4.64,56.6,
1984,763000000,150,4.56,56.9,
1985,780000000,146,4.48,57.3,
1986,798000000,142,4.4,57.8,
1987,816000000,138,4.31,58.3,50.1
1988,834000000,134,4.22,58.6,51.7
1989,852000000,130,4.13,59.1,
1990,870000000,126,4.05,59.6,
1991,889000000,123,3.96,59.8,
1992,908000000,119,3.88,60,
1993,926000000,116,3.8,60.6,
1994,945000000,113,3.72,61.2,
1995,964000000,109,3.65,61.7,62.1
1996,983000000,106,3.58,62,
1997,1B,102,3.51,61.9,
1998,1.02B,98.8,3.45,62.1,
1999,1.04B,95.2,3.38,62.6,60.9
2000,1.06B,91.6,3.31,62.9,64
2001,1.08B,88,3.24,63.3,65.9
2002,1.1B,84.5,3.18,63.8,69.3
2003,1.12B,81.1,3.11,64.5,77.7
2004,1.14B,77.7,3.04,65.2,
2005,1.15B,74.4,2.97,65.4,
2006,1.17B,71.1,2.9,65.6,
2007,1.19B,67.9,2.82,65.8,
2008,1.21B,64.7,2.75,66.1,95.5
2009,1.22B,61.4,2.67,66.8,97
2010,1.24B,58.2,2.6,67.3,
2011,1.26B,55.1,2.53,67.6,93.6
2012,1.27B,52.1,2.48,68,
2013,1.29B,49.1,2.43,68.4,99.3
2014,1.31B,46.3,2.38,69,100
2015,1.32B,43.6,2.35,69.4,100
2016,1.34B,41.1,2.33,70,98.5
2017,1.35B,38.7,2.3,70.3,96.3
2018,1.37B,36.6,2.28,70.5,
2019,1.38B,35.2,2.26,70.8,93.3
2020,1.4B,33.9,2.24,70.8,96.1
2021,1.41B,32.7,2.22,71.2,98.5
